playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"2506404","null","Frank Gore","RB","IND","RB","IND","null","7.8174","null","null","null","32","null","null","0.2074","null","null","null","8.1645","6.9","3.5475","null",
"2555346","null","Will Fuller","WR","HOU","WR","HOU","null","7.8","null","null","null","37","null","null","0.1689","null","null","null","10.1391","3.55","3.8497","null",
"2555295","null","Sterling Shepard","WR","NYG","WR","NYG","null","7.7882","null","null","null","38","null","null","0.4308","null","null","null","8.534","4.8","5.4943","null",
"2495613","null","Corey Graham","DB","BUF","DB","BUF","null","7.7873","null","null","null","2","null","null","0.3009","null","null","null","8.0333","7.45","null","null",
"2552592","null","Kwon Alexander","LB","TB","LB","TB","null","7.7225","null","null","null","10","null","null","0.0574","null","null","null","7.7389","7.7","null","null",
"2543464","null","C.J. Mosley","LB","BAL","LB","BAL","null","7.7175","null","null","null","11","null","null","0.1062","null","null","null","7.7667","7.65","null","null",
"2550545","null","Chris Boswell","K","PIT","K","PIT","null","7.7151","null","null","null","16","null","null","0.184","null","null","null","9.549","3","5.3129","null",
"2495966","null","Delanie Walker","TE","TEN","TE","TEN","null","7.6436","null","null","null","5","null","null","0.4272","null","null","null","8.056","5.8","3.2518","null",
"2550189","null","Isaiah Crowell","RB","CLE","RB","CLE","null","7.6431","null","null","null","33","null","null","0.0989","null","null","null","8.096","6.1","4.6077","null",
"2543769","null","Deone Bucannon","DB","ARI","DB","ARI","null","7.6127","null","null","null","3","null","null","0.3976","null","null","null","7.8137","7.2","null","null",
"2543769","null","Deone Bucannon","LB","ARI","LB","ARI","null","7.6127","null","null","null","12","null","null","0.0189","null","null","null","7.8137","7.2","null","null",
"2495712","null","Paul Posluszny","LB","JAC","LB","JAC","null","7.6098","null","null","null","13","null","null","0.0622","null","null","null","7.8721","7.25","null","null",
"2543814","null","Preston Brown","LB","BUF","LB","BUF","null","7.5777","null","null","null","14","null","null","0.069","null","null","null","7.8592","7","null","null",
"2540020","null","Theo Riddick","RB","DET","RB","DET","null","7.5769","null","null","null","34","null","null","0.1375","null","null","null","8.8692","4.9","4.3371","null",
"100025","null","Eagles","DST","PHI","DST","PHI","null","7.5624","null","null","null","15","null","null","0.3552","null","null","null","10.4919","6","6.9506","null",
"2532968","null","Blair Walsh","K","MIN","K","MIN","null","7.5521","null","null","null","17","null","null","0.0609","null","null","null","9.6578","2","8.0566","null",
"2552315","null","Jordan Hicks","LB","PHI","LB","PHI","null","7.5175","null","null","null","15","null","null","0.0599","null","null","null","7.5667","7.45","null","null",
